run_id,run_name,model_type,max_features,max_iter,solver,train_accuracy,test_accuracy,test_precision,test_recall,test_f1_score
e8d4a255,exp2_logistic_30k_features_20251129_171927,LogisticRegression,30000,500,lbfgs,0.927775,0.9007,0.8966541278954663,0.9058,0.9012038603124067
efd330e2,baseline_20251129_200804,LogisticRegression,20000,500,lbfgs,0.925075,0.8997,0.8955076192360973,0.905,0.9002287874266388
ab89fc44,baseline_20251129_200502,LogisticRegression,20000,500,lbfgs,0.925075,0.8997,0.8955076192360973,0.905,0.9002287874266388
73ef896a,baseline_20251129_194455,LogisticRegression,20000,500,lbfgs,0.925075,0.8997,0.8955076192360973,0.905,0.9002287874266388
3c05166d,baseline_20251129_192310,LogisticRegression,20000,500,lbfgs,0.925075,0.8997,0.8955076192360973,0.905,0.9002287874266388
11e43bcd,baseline_20251129_192111,LogisticRegression,20000,500,lbfgs,0.925075,0.8997,0.8955076192360973,0.905,0.9002287874266388
d5df181f,baseline_20251129_171732,LogisticRegression,20000,500,lbfgs,0.925075,0.8997,0.8955076192360973,0.905,0.9002287874266388
fc413354,exp1_logistic_10k_features_20251129_171927,LogisticRegression,10000,500,lbfgs,0.920175,0.8983,0.8939663699307616,0.9038,0.8988562904027847
d6550583,exp1_logistic_10k_features_20251129_171922,LogisticRegression,10000,500,lbfgs,0.920175,0.8983,0.8939663699307616,0.9038,0.8988562904027847
19cfc60a,baseline_20251129_194433,LogisticRegression,20000,500,lbfgs,0.925075,0.0,0.0,0.0,0.0
2ac422d8,baseline_20251129_192231,LogisticRegression,20000,500,lbfgs,0.0,0.0,0.0,0.0,0.0
95024cc3,exp3_random_forest_20251129_171927,RandomForest,15000,N/A,N/A,0.0,0.0,0.0,0.0,0.0
